Система автоматизации,AS
Абонент,ГПА1
Ретросистема,Текущий
Дата,29.01.18
Время,11:18:56
Длительность архива (сек),7850.00
Время предыстории (сек),7850.00
Шаг дискретизации (сек),1.00

Время,"Т газа на входе Н, °С","Т газа на выходе Н, °С","Осевой сдвиг ротора нагнетателя, мм","Конц. метана после 2ст. СГУ переднего, %","Конц. метана после 2ст. СГУ заднего, %","ВОсс","Конц. метана после 2 ст. СГУ переднего выс.","Конц. метана после 2 ст. СГУ заднего  выс."
,-57.50_207.50,-57.50_207.50,-1.06_1.06,-3.00_103.00,-3.00_103.00,0.00_1.00,0.00_1.00,0.00_1.00
-7850.10,4.8430,19.5233,0.2179,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7849.10,4.8430,19.5233,0.2183,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7848.10,4.8430,19.5233,0.2174,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7847.10,4.8430,19.5233,0.2184,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7846.10,4.8430,19.5233,0.2183,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7845.10,4.8430,19.5233,0.2164,0.0217,-0.0326,. . . . .,. . . . .,. . . . .
-7844.10,4.8430,19.5233,0.2173,0.3328,-0.0326,. . . . .,. . . . .,. . . . .
-7843.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7842.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7841.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7840.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7839.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7838.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7837.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7836.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7835.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7834.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7833.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7832.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7831.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7830.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7829.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7828.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7827.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7826.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7825.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7824.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7823.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7822.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7821.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7820.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7819.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7818.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7817.10,4.8430,19.5233,0.2208,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7816.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7815.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7814.10,4.8430,19.5233,0.2160,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7813.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7812.10,4.8430,19.5233,0.2177,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7811.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7810.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7809.10,4.8430,19.5233,0.2253,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7808.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7807.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7806.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7805.10,4.8430,19.5233,0.2233,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7804.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7803.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7802.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7801.10,4.8430,19.5233,0.2203,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7800.10,4.8430,19.5233,0.2193,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7799.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7798.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7797.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7796.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7795.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7794.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7793.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7792.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7791.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7790.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7789.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7788.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7787.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7786.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7785.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7784.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7783.10,4.8430,19.5233,0.2188,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7782.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7781.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7780.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7779.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7778.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7777.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7776.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7775.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7774.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7773.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7772.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7771.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7770.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7769.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7768.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7767.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7766.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7765.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7764.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7763.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7762.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7761.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7760.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7759.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7758.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7757.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7756.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7755.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7754.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7753.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7752.10,4.8430,19.5233,0.2182,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7751.10,4.8430,19.5233,0.2159,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7750.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7749.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7748.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7747.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7746.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7745.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7744.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7743.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7742.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7741.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7740.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7739.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7738.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7737.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7736.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7735.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7734.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7733.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7732.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7731.10,4.8430,19.5233,0.2135,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7730.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7729.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7728.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7727.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7726.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7725.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7724.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7723.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7722.10,4.8430,19.5233,0.2193,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7721.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7720.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7719.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7718.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7717.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7716.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7715.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7714.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7713.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7712.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7711.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7710.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7709.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7708.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7707.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7706.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7705.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7704.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7703.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7702.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7701.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7700.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7699.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7698.10,4.8430,19.5233,0.2173,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7697.10,4.8430,19.5233,0.2164,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7696.10,4.8430,19.5233,0.2183,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7695.10,4.8430,19.5233,0.2183,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7694.10,4.8430,19.5233,0.2183,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7693.10,4.8430,19.5233,0.2179,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7692.10,4.8430,19.5233,0.2174,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7691.10,4.8430,19.5233,0.2177,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7690.10,4.8430,19.5233,0.2183,0.0253,-0.0434,. . . . .,. . . . .,. . . . .
-7689.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7688.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7687.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7686.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7685.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7684.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7683.10,4.8430,19.5233,0.2159,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7682.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7681.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7680.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7679.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7678.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7677.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7676.10,4.8430,19.5233,0.2178,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7675.10,4.8430,19.5233,0.2178,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7674.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7673.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7672.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7671.10,4.8430,19.5233,0.2198,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7670.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7669.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7668.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7667.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7666.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7665.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7664.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7663.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7662.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7661.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7660.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7659.10,4.8430,19.5233,0.2223,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7658.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7657.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7656.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7655.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7654.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7653.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7652.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7651.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7650.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7649.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7648.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7647.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7646.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7645.10,4.8430,19.5233,0.2182,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7644.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7643.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7642.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7641.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7640.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7639.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7638.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7637.10,4.8430,19.5233,0.2164,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7636.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7635.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7634.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7633.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7632.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7631.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7630.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7629.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7628.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7627.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7626.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7625.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7624.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7623.10,4.8430,19.5233,0.2159,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7622.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7621.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7620.10,4.8430,19.5233,0.2169,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7619.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7618.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7617.10,4.8430,19.5233,0.2203,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7616.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7615.10,4.8430,19.5233,0.2169,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7614.10,4.8430,19.5233,0.2198,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7613.10,4.8430,19.5233,0.2175,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7612.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7611.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7610.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7609.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7608.10,4.8430,19.5233,0.2193,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7607.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7606.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7605.10,4.8430,19.5233,0.2203,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7604.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7603.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7602.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7601.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7600.10,4.8430,19.5233,0.2174,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7599.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7598.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7597.10,4.8430,19.5233,0.2184,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7596.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7595.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7594.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7593.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7592.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7591.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7590.10,4.8430,19.5233,0.2173,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7589.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7588.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7587.10,4.8430,19.5233,0.2193,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7586.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7585.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7584.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7583.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7582.10,4.8430,19.5233,0.2179,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7581.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7580.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7579.10,4.8430,19.5233,0.2189,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
-7578.10,4.8430,19.5233,0.2183,0.0253,-0.0326,. . . . .,. . . . .,. . . . .
